Area Code,Cogs,Date,Inventory,Margin,Market Size,Market,Marketing,记录数,Product Line,Product Type,Product,Profit,Sales,State,Target COGS,Target Margin,Target Profit,Target Sales,Total Expenses,Type
682,43,2012-12-01 00:00:00.000,531,56,Major Market,South,14,1,Beans,Coffee,Decaf Irish Cream,30,99,Texas,50,60,40,110,26,Decaf
214,54,2012-12-01 00:00:00.000,601,79,Major Market,South,15,1,Beans,Espresso,Decaf Espresso,52,133,Texas,40,60,40,100,27,Decaf
970,47,2012-12-01 00:00:00.000,521,65,Major Market,Central,42,1,Leaves,Herbal Tea,Lemon,-6,112,Colorado,40,60,0,100,71,Decaf
303,54,2012-12-01 00:00:00.000,424,73,Major Market,Central,17,1,Leaves,Herbal Tea,Mint,29,127,Colorado,50,60,30,110,44,Decaf
954,65,2012-12-01 00:00:00.000,403,80,Major Market,East,24,1,Leaves,Herbal Tea,Lemon,23,145,Florida,40,60,20,100,57,Decaf
561,80,2012-12-01 00:00:00.000,1079,96,Major Market,East,24,1,Leaves,Herbal Tea,Mint,50,176,Florida,60,60,30,120,46,Decaf
469,54,2012-12-01 00:00:00.000,424,73,Major Market,South,17,1,Leaves,Herbal Tea,Chamomile,28,127,Texas,50,60,30,110,45,Decaf
214,41,2012-12-01 00:00:00.000,435,60,Major Market,South,13,1,Leaves,Herbal Tea,Lemon,24,101,Texas,30,60,30,90,36,Decaf
619,54,2012-12-01 00:00:00.000,601,79,Major Market,West,15,1,Leaves,Tea,Earl Grey,53,133,California,30,60,50,90,26,Regular
314,31,2012-12-01 00:00:00.000,844,46,Small Market,Central,8,1,Beans,Espresso,Decaf Espresso,27,77,Missouri,30,60,50,90,19,Decaf
225,34,2012-12-01 00:00:00.000,863,51,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,31,85,Louisiana,40,60,50,100,20,Decaf
580,33,2012-12-01 00:00:00.000,870,49,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,28,82,Oklahoma,30,60,50,90,21,Decaf
603,48,2012-12-01 00:00:00.000,462,74,Small Market,East,15,1,Beans,Coffee,Colombian,28,122,New Hampshire,40,60,30,100,46,Regular
985,55,2012-12-01 00:00:00.000,-1053,76,Small Market,South,49,1,Beans,Espresso,Caffe Latte,-3,131,Louisiana,40,60,0,100,79,Regular
505,49,2012-12-01 00:00:00.000,335,69,Small Market,South,44,1,Beans,Espresso,Caffe Mocha,-5,118,New Mexico,30,60,10,90,74,Regular
775,39,2012-12-01 00:00:00.000,250,49,Small Market,West,14,1,Beans,Coffee,Colombian,1,88,Nevada,40,60,20,100,48,Regular
417,49,2012-12-01 00:00:00.000,335,69,Small Market,Central,44,1,Leaves,Herbal Tea,Chamomile,-5,118,Missouri,40,60,0,100,74,Decaf
920,41,2012-12-01 00:00:00.000,320,66,Small Market,Central,12,1,Leaves,Herbal Tea,Chamomile,30,107,Wisconsin,30,60,30,90,36,Decaf
573,92,2012-12-01 00:00:00.000,1898,68,Small Market,Central,28,1,Leaves,Herbal Tea,Lemon,16,160,Missouri,80,60,20,140,52,Decaf
475,68,2012-12-01 00:00:00.000,619,85,Small Market,East,25,1,Leaves,Herbal Tea,Lemon,27,153,Connecticut,50,60,20,110,58,Decaf
475,63,2012-12-01 00:00:00.000,1075,76,Small Market,East,19,1,Leaves,Herbal Tea,Mint,36,139,Connecticut,40,60,40,100,40,Decaf
435,92,2012-12-01 00:00:00.000,1898,68,Small Market,West,28,1,Leaves,Herbal Tea,Mint,17,160,Utah,80,60,20,140,51,Decaf
920,55,2012-12-01 00:00:00.000,627,76,Small Market,Central,49,1,Leaves,Tea,Earl Grey,-3,131,Wisconsin,40,60,0,100,79,Regular
720,51,2013-10-01 00:00:00.000,503,71,Major Market,Central,46,1,Leaves,Herbal Tea,Lemon,-7,130,Colorado,30,60,30,90,76,Decaf
970,52,2013-10-01 00:00:00.000,405,71,Major Market,Central,17,1,Leaves,Herbal Tea,Mint,39,131,Colorado,30,60,50,90,45,Decaf
430,43,2013-10-01 00:00:00.000,419,64,Major Market,South,13,1,Leaves,Herbal Tea,Lemon,42,114,Texas,30,60,50,90,36,Decaf
561,38,2013-10-01 00:00:00.000,871,56,Major Market,East,10,1,Leaves,Tea,Darjeeling,52,100,Florida,40,60,50,100,21,Regular
510,72,2013-10-01 00:00:00.000,650,110,Major Market,West,23,1,Leaves,Tea,Green Tea,83,194,California,20,60,50,80,54,Regular
563,0,2013-10-01 00:00:00.000,430,43,Small Market,Central,0,1,Beans,Espresso,Decaf Espresso,46,46,Iowa,0,60,60,60,12,Decaf
203,47,2013-10-01 00:00:00.000,375,64,Small Market,East,15,1,Beans,Espresso,Decaf Espresso,31,118,Connecticut,30,60,50,90,43,Decaf
405,27,2013-10-01 00:00:00.000,859,39,Small Market,South,7,1,Beans,Coffee,Decaf Irish Cream,31,70,Oklahoma,30,60,60,90,18,Decaf
775,31,2013-10-01 00:00:00.000,1000,37,Small Market,West,9,1,Beans,Coffee,Decaf Irish Cream,10,72,Nevada,30,60,50,90,30,Decaf
435,40,2013-10-01 00:00:00.000,881,59,Small Market,West,11,1,Beans,Espresso,Decaf Espresso,55,106,Utah,20,60,60,80,22,Decaf
603,49,2013-10-01 00:00:00.000,310,71,Small Market,East,15,1,Beans,Coffee,Amaretto,49,128,New Hampshire,30,60,60,90,38,Regular
603,45,2013-10-01 00:00:00.000,447,69,Small Market,East,14,1,Beans,Coffee,Colombian,36,121,New Hampshire,30,60,50,90,45,Regular
603,45,2013-10-01 00:00:00.000,320,64,Small Market,East,41,1,Beans,Espresso,Caffe Mocha,-10,116,New Hampshire,30,60,30,90,71,Regular
504,60,2013-10-01 00:00:00.000,-762,84,Small Market,South,54,1,Beans,Espresso,Caffe Latte,1,153,Louisiana,30,60,10,90,83,Regular
702,34,2013-10-01 00:00:00.000,240,43,Small Market,West,12,1,Beans,Coffee,Colombian,-3,82,Nevada,40,60,30,100,45,Regular
971,54,2013-10-01 00:00:00.000,404,66,Small Market,West,20,1,Beans,Espresso,Caffe Latte,18,128,Oregon,40,60,40,100,54,Regular
573,45,2013-10-01 00:00:00.000,320,64,Small Market,Central,41,1,Leaves,Herbal Tea,Chamomile,-9,116,Missouri,20,60,30,80,70,Decaf
262,48,2013-10-01 00:00:00.000,851,70,Small Market,Central,13,1,Leaves,Herbal Tea,Lemon,67,126,Wisconsin,30,60,60,90,25,Decaf
801,49,2013-10-01 00:00:00.000,310,71,Small Market,West,15,1,Leaves,Herbal Tea,Chamomile,49,128,Utah,30,60,60,90,38,Decaf
509,48,2013-10-01 00:00:00.000,829,71,Small Market,West,13,1,Leaves,Herbal Tea,Lemon,70,127,Washington,30,60,60,90,24,Decaf
475,40,2013-10-01 00:00:00.000,881,59,Small Market,East,11,1,Leaves,Tea,Darjeeling,53,106,Connecticut,40,60,50,100,23,Regular
503,82,2013-10-01 00:00:00.000,788,123,Small Market,West,27,1,Leaves,Tea,Earl Grey,95,218,Oregon,30,60,50,90,59,Regular
541,91,2013-10-01 00:00:00.000,656,127,Small Market,West,28,1,Leaves,Tea,Green Tea,113,232,Oregon,40,60,50,100,51,Regular
936,40,2013-11-01 00:00:00.000,536,52,Major Market,South,13,1,Beans,Coffee,Decaf Irish Cream,39,98,Texas,40,60,40,100,26,Decaf
254,50,2013-11-01 00:00:00.000,589,73,Major Market,South,14,1,Beans,Espresso,Decaf Espresso,71,131,Texas,30,60,40,90,25,Decaf
719,40,2013-11-01 00:00:00.000,536,52,Major Market,Central,13,1,Beans,Coffee,Colombian,40,98,Colorado,30,60,40,90,25,Regular
339,52,2013-11-01 00:00:00.000,554,68,Major Market,East,47,1,Beans,Espresso,Caffe Mocha,-12,128,Massachusetts,50,60,0,110,76,Regular
561,75,2013-11-01 00:00:00.000,1063,89,Major Market,East,23,1,Leaves,Herbal Tea,Mint,65,175,Florida,50,60,30,110,45,Decaf
806,46,2013-11-01 00:00:00.000,424,68,Major Market,South,14,1,Leaves,Herbal Tea,Lemon,46,121,Texas,40,60,30,100,37,Decaf
719,55,2013-11-01 00:00:00.000,410,69,Major Market,Central,20,1,Leaves,Tea,Darjeeling,22,132,Colorado,40,60,20,100,54,Regular
708,50,2013-11-01 00:00:00.000,589,73,Major Market,Central,14,1,Leaves,Tea,Darjeeling,71,131,Illinois,40,60,40,100,25,Regular
719,57,2013-11-01 00:00:00.000,1042,68,Major Market,Central,17,1,Leaves,Tea,Earl Grey,43,133,Colorado,40,60,30,100,39,Regular
351,36,2013-11-01 00:00:00.000,862,52,Major Market,East,10,1,Leaves,Tea,Darjeeling,46,94,Massachusetts,30,60,40,90,21,Regular
636,33,2013-11-01 00:00:00.000,836,48,Small Market,Central,9,1,Beans,Espresso,Decaf Espresso,40,86,Missouri,40,60,50,100,21,Decaf
504,31,2013-11-01 00:00:00.000,856,47,Small Market,South,8,1,Beans,Coffee,Decaf Irish Cream,42,83,Louisiana,30,60,50,90,19,Decaf
580,36,2013-11-01 00:00:00.000,862,52,Small Market,South,10,1,Beans,Coffee,Decaf Irish Cream,45,94,Oklahoma,40,60,40,100,22,Decaf
337,49,2013-11-01 00:00:00.000,454,71,Small Market,South,15,1,Beans,Espresso,Decaf Espresso,50,128,Louisiana,30,60,30,90,37,Decaf
262,54,2013-11-01 00:00:00.000,391,67,Small Market,Central,20,1,Beans,Coffee,Amaretto,21,129,Wisconsin,50,60,20,110,53,Regular
603,46,2013-11-01 00:00:00.000,316,67,Small Market,East,14,1,Beans,Coffee,Amaretto,45,120,New Hampshire,40,60,40,100,37,Regular
603,43,2013-11-01 00:00:00.000,452,66,Small Market,East,14,1,Beans,Coffee,Colombian,30,116,New Hampshire,30,60,30,90,46,Regular
603,44,2013-11-01 00:00:00.000,325,62,Small Market,East,40,1,Beans,Espresso,Caffe Mocha,-12,113,New Hampshire,40,60,10,100,70,Regular
318,53,2013-11-01 00:00:00.000,321,88,Small Market,South,16,1,Beans,Espresso,Caffe Mocha,73,150,Louisiana,40,60,30,100,39,Regular
206,54,2013-11-01 00:00:00.000,391,67,Small Market,West,20,1,Beans,Espresso,Caffe Mocha,19,129,Washington,50,60,20,110,54,Regular
580,54,2013-11-01 00:00:00.000,391,67,Small Market,South,20,1,Leaves,Herbal Tea,Chamomile,19,129,Oklahoma,50,60,20,110,54,Decaf
435,46,2013-11-01 00:00:00.000,316,67,Small Market,West,14,1,Leaves,Herbal Tea,Chamomile,45,120,Utah,40,60,30,100,37,Decaf
435,43,2013-11-01 00:00:00.000,452,66,Small Market,West,14,1,Leaves,Herbal Tea,Lemon,30,116,Utah,40,60,30,100,46,Decaf
253,47,2013-11-01 00:00:00.000,834,68,Small Market,West,13,1,Leaves,Herbal Tea,Lemon,65,123,Washington,40,60,40,100,24,Decaf
203,36,2013-11-01 00:00:00.000,809,54,Small Market,East,10,1,Leaves,Tea,Green Tea,49,96,Connecticut,30,60,40,90,21,Regular
509,61,2013-11-01 00:00:00.000,613,86,Small Market,West,55,1,Leaves,Tea,Green Tea,1,157,Washington,40,60,0,100,85,Regular
956,43,2013-12-01 00:00:00.000,531,56,Major Market,South,14,1,Beans,Coffee,Decaf Irish Cream,45,106,Texas,50,60,40,110,26,Decaf
430,54,2013-12-01 00:00:00.000,601,79,Major Market,South,15,1,Beans,Espresso,Decaf Espresso,77,142,Texas,40,60,40,100,27,Decaf
719,47,2013-12-01 00:00:00.000,521,65,Major Market,Central,42,1,Leaves,Herbal Tea,Lemon,-9,119,Colorado,40,60,0,100,71,Decaf
970,54,2013-12-01 00:00:00.000,424,73,Major Market,Central,17,1,Leaves,Herbal Tea,Mint,43,135,Colorado,50,60,30,110,44,Decaf
305,65,2013-12-01 00:00:00.000,403,80,Major Market,East,24,1,Leaves,Herbal Tea,Lemon,34,155,Florida,40,60,20,100,57,Decaf
407,80,2013-12-01 00:00:00.000,1079,96,Major Market,East,24,1,Leaves,Herbal Tea,Mint,74,188,Florida,60,60,30,120,46,Decaf
325,54,2013-12-01 00:00:00.000,424,73,Major Market,South,17,1,Leaves,Herbal Tea,Chamomile,42,135,Texas,50,60,30,110,45,Decaf
430,41,2013-12-01 00:00:00.000,435,60,Major Market,South,13,1,Leaves,Herbal Tea,Lemon,36,108,Texas,30,60,30,90,36,Decaf
408,54,2013-12-01 00:00:00.000,601,79,Major Market,West,15,1,Leaves,Tea,Earl Grey,79,142,California,30,60,50,90,26,Regular
816,31,2013-12-01 00:00:00.000,844,46,Small Market,Central,8,1,Beans,Espresso,Decaf Espresso,40,82,Missouri,30,60,50,90,19,Decaf
337,34,2013-12-01 00:00:00.000,863,51,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,46,91,Louisiana,40,60,50,100,20,Decaf
918,33,2013-12-01 00:00:00.000,870,49,Small Market,South,9,1,Beans,Coffee,Decaf Irish Cream,42,87,Oklahoma,30,60,50,90,21,Decaf
603,48,2013-12-01 00:00:00.000,462,74,Small Market,East,15,1,Beans,Coffee,Colombian,42,130,New Hampshire,40,60,30,100,46,Regular
225,55,2013-12-01 00:00:00.000,-1053,76,Small Market,South,49,1,Beans,Espresso,Caffe Latte,-4,140,Louisiana,40,60,0,100,79,Regular
505,49,2013-12-01 00:00:00.000,335,69,Small Market,South,44,1,Beans,Espresso,Caffe Mocha,-7,126,New Mexico,30,60,10,90,74,Regular
702,39,2013-12-01 00:00:00.000,250,49,Small Market,West,14,1,Beans,Coffee,Colombian,1,94,Nevada,40,60,20,100,48,Regular
314,49,2013-12-01 00:00:00.000,335,69,Small Market,Central,44,1,Leaves,Herbal Tea,Chamomile,-7,126,Missouri,40,60,0,100,74,Decaf
920,41,2013-12-01 00:00:00.000,320,66,Small Market,Central,12,1,Leaves,Herbal Tea,Chamomile,45,114,Wisconsin,30,60,30,90,36,Decaf
417,92,2013-12-01 00:00:00.000,1898,68,Small Market,Central,28,1,Leaves,Herbal Tea,Lemon,24,171,Missouri,80,60,20,140,52,Decaf
860,68,2013-12-01 00:00:00.000,619,85,Small Market,East,25,1,Leaves,Herbal Tea,Lemon,40,163,Connecticut,50,60,20,110,58,Decaf
203,63,2013-12-01 00:00:00.000,1075,76,Small Market,East,19,1,Leaves,Herbal Tea,Mint,53,148,Connecticut,40,60,40,100,40,Decaf
435,92,2013-12-01 00:00:00.000,1898,68,Small Market,West,28,1,Leaves,Herbal Tea,Mint,25,171,Utah,80,60,20,140,51,Decaf
262,55,2013-12-01 00:00:00.000,627,76,Small Market,Central,49,1,Leaves,Tea,Earl Grey,-4,140,Wisconsin,40,60,0,100,79,Regular
719,39,2012-10-01 00:00:00.000,541,51,Major Market,Central,12,1,Beans,Coffee,Colombian,27,90,Colorado,30,50,50,80,24,Regular
305,80,2012-10-01 00:00:00.000,1055,94,Major Market,East,24,1,Leaves,Herbal Tea,Mint,48,174,Florida,40,50,40,90,46,Decaf
303,54,2012-10-01 00:00:00.000,404,66,Major Market,Central,20,1,Leaves,Tea,Darjeeling,13,120,Colorado,30,50,30,80,53,Regular
303,54,2012-10-01 00:00:00.000,1037,64,Major Market,Central,16,1,Leaves,Tea,Earl Grey,27,118,Colorado,30,50,40,80,37,Regular
508,27,2012-10-01 00:00:00.000,859,39,Major Market,East,7,1,Leaves,Tea,Darjeeling,20,66,Massachusetts,20,50,50,70,19,Regular
209,76,2012-10-01 00:00:00.000,580,111,Major Market,West,21,1,Leaves,Tea,Earl Grey,79,187,California,30,50,50,80,32,Regular
715,22,2012-10-01 00:00:00.000,573,29,Small Market,Central,7,1,Beans,Espresso,Decaf Espresso,10,51,Wisconsin,20,50,50,70,19,Decaf
319,23,2012-10-01 00:00:00.000,800,35,Small Market,Central,6,1,Beans,Espresso,Caffe Mocha,18,58,Iowa,20,50,50,70,17,Regular
959,79,2012-10-01 00:00:00.000,593,98,Small Market,East,30,1,Leaves,Herbal Tea,Lemon,34,177,Connecticut,40,50,30,90,64,Decaf
860,65,2012-10-01 00:00:00.000,1053,77,Small Market,East,20,1,Leaves,Herbal Tea,Mint,35,142,Connecticut,30,50,50,80,42,Decaf
262,46,2012-10-01 00:00:00.000,449,67,Small Market,Central,14,1,Leaves,Tea,Darjeeling,30,113,Wisconsin,20,50,40,70,37,Regular
715,60,2012-10-01 00:00:00.000,606,84,Small Market,Central,54,1,Leaves,Tea,Earl Grey,0,144,Wisconsin,40,50,0,90,84,Regular
206,60,2012-10-01 00:00:00.000,329,99,Small Market,West,18,1,Leaves,Tea,Darjeeling,57,159,Washington,20,50,40,70,42,Regular
773,40,2012-11-01 00:00:00.000,536,52,Major Market,Central,13,1,Leaves,Herbal Tea,Lemon,27,92,Illinois,30,50,30,80,25,Decaf
614,36,2012-11-01 00:00:00.000,862,52,Major Market,Central,10,1,Leaves,Herbal Tea,Lemon,30,88,Ohio,30,50,40,80,22,Decaf
617,55,2012-11-01 00:00:00.000,410,69,Major Market,East,20,1,Leaves,Herbal Tea,Lemon,15,124,Massachusetts,40,50,20,90,54,Decaf
707,40,2012-11-01 00:00:00.000,536,52,Major Market,West,13,1,Leaves,Herbal Tea,Mint,27,92,California,30,50,30,80,25,Decaf
352,28,2012-11-01 00:00:00.000,875,42,Major Market,East,7,1,Leaves,Tea,Darjeeling,23,70,Florida,20,50,40,70,19,Regular
561,31,2012-11-01 00:00:00.000,856,47,Major Market,East,8,1,Leaves,Tea,Green Tea,28,78,Florida,30,50,40,80,19,Regular
351,32,2012-11-01 00:00:00.000,482,48,Major Market,East,8,1,Leaves,Tea,Green Tea,29,80,Massachusetts,30,50,40,80,19,Regular
650,50,2012-11-01 00:00:00.000,589,73,Major Market,West,14,1,Leaves,Tea,Earl Grey,47,123,California,30,50,40,80,26,Regular
712,0,2012-11-01 00:00:00.000,387,43,Small Market,Central,0,1,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,50,40,50,12,Decaf
505,82,2012-11-01 00:00:00.000,1804,40,Small Market,South,25,1,Beans,Coffee,Decaf Irish Cream,-8,122,New Mexico,90,50,10,140,48,Decaf
515,22,2012-11-01 00:00:00.000,802,34,Small Market,Central,6,1,Beans,Espresso,Caffe Mocha,16,56,Iowa,20,50,40,70,18,Regular
505,44,2012-11-01 00:00:00.000,325,62,Small Market,South,40,1,Beans,Espresso,Caffe Mocha,-7,106,New Mexico,30,50,0,80,69,Regular
775,33,2012-11-01 00:00:00.000,243,41,Small Market,West,12,1,Beans,Coffee,Colombian,-4,74,Nevada,30,50,10,80,45,Regular
573,44,2012-11-01 00:00:00.000,325,62,Small Market,Central,40,1,Leaves,Herbal Tea,Chamomile,-8,106,Missouri,40,50,0,90,70,Decaf
262,31,2012-11-01 00:00:00.000,856,47,Small Market,Central,8,1,Leaves,Herbal Tea,Lemon,27,78,Wisconsin,20,50,40,70,20,Decaf
475,69,2012-11-01 00:00:00.000,1060,81,Small Market,East,21,1,Leaves,Herbal Tea,Mint,38,150,Connecticut,50,50,30,100,43,Decaf
262,49,2012-11-01 00:00:00.000,454,71,Small Market,Central,15,1,Leaves,Tea,Darjeeling,33,120,Wisconsin,40,50,20,90,38,Regular
206,49,2012-11-01 00:00:00.000,454,71,Small Market,West,15,1,Leaves,Tea,Earl Grey,34,120,Washington,30,50,30,80,37,Regular
970,43,2012-12-01 00:00:00.000,531,56,Major Market,Central,14,1,Beans,Coffee,Colombian,29,99,Colorado,40,50,30,90,27,Regular
614,41,2012-12-01 00:00:00.000,435,60,Major Market,Central,13,1,Beans,Coffee,Colombian,24,101,Ohio,40,50,20,90,36,Regular
339,47,2012-12-01 00:00:00.000,571,52,Major Market,East,42,1,Beans,Espresso,Caffe Mocha,-20,99,Massachusetts,40,50,-10,90,72,Regular
773,43,2012-12-01 00:00:00.000,531,56,Major Market,Central,14,1,Leaves,Herbal Tea,Lemon,29,99,Illinois,40,50,30,90,27,Decaf
805,43,2012-12-01 00:00:00.000,531,56,Major Market,West,14,1,Leaves,Herbal Tea,Mint,29,99,California,40,50,30,90,27,Decaf
303,46,2012-12-01 00:00:00.000,422,57,Major Market,Central,17,1,Leaves,Tea,Darjeeling,6,103,Colorado,30,50,10,80,51,Regular
303,53,2012-12-01 00:00:00.000,1054,63,Major Market,Central,16,1,Leaves,Tea,Earl Grey,26,116,Colorado,40,50,20,90,37,Regular
